route_id,type_route,nom_route,region_origine,region_destination,prefecture_origine,prefecture_destination,longueur_km,etat_route,temps_parcours_heures,points_controle,bus_par_jour,camions_par_jour,passagers_par_jour
R001,Nationale,RN1,Maritime,Plateaux,Vo,Ogou,150,Bon,2.5,3,85,45,1250
R002,Nationale,RN2,Plateaux,Centrale,Ogou,Sotouboua,120,Moyen,2.8,2,65,35,950
R003,Nationale,RN3,Centrale,Kara,Sotouboua,Kozah,110,Moyen,2.6,2,60,30,850
R004,Nationale,RN4,Kara,Savanes,Kozah,Oti,95,Mediocre,3.0,2,45,25,650
R005,Nationale,RN5,Maritime,Kara,Vo,Kozah,420,Moyen,8.5,6,70,55,1600
R006,Nationale,RN6,Plateaux,Savanes,Ogou,Oti,260,Mediocre,6.5,4,40,35,900
R007,Nationale,RN7,Maritime,Centrale,Golfe,Sotouboua,210,Bon,4.0,3,90,50,1450
R008,Nationale,RN8,Centrale,Savanes,Tchaoudjo,Tône,190,Moyen,4.8,3,55,40,1050
R009,Nationale,RN9,Plateaux,Kara,Kloto,Kéran,180,Moyen,4.2,3,60,38,1100
R010,Nationale,RN10,Maritime,Savanes,Lacs,Oti,350,Mediocre,8.0,5,35,42,800
R011,Régionale,RR1,Maritime,Maritime,Vo,Lacs,45,Bon,1.0,1,120,20,1800
R012,Régionale,RR2,Maritime,Maritime,Lacs,Yoto,55,Moyen,1.2,1,95,15,1400
R013,Régionale,RR3,Plateaux,Plateaux,Ogou,Kloto,40,Bon,0.8,0,105,12,1550
R014,Régionale,RR4,Plateaux,Plateaux,Kloto,Amou,65,Moyen,1.4,1,75,18,1100
R015,Régionale,RR5,Kara,Kara,Kozah,Kéran,50,Bon,1.0,1,90,15,1300
R016,Régionale,RR6,Kara,Kara,Kozah,Assoli,70,Moyen,1.5,1,65,12,950
R017,Régionale,RR7,Savanes,Savanes,Oti,Tône,60,Mediocre,1.8,1,50,10,700
R018,Régionale,RR8,Savanes,Savanes,Tône,Kpendjal,75,Mediocre,2.2,2,40,8,550
R019,Régionale,RR9,Plateaux,Centrale,Haho,Sotouboua,90,Moyen,2.0,1,70,20,1000
R020,Régionale,RR10,Centrale,Kara,Blitta,Kozah,105,Moyen,2.4,2,60,22,980
R021,Régionale,RR11,Kara,Savanes,Dankpen,Oti,85,Mediocre,2.5,2,42,18,650
R022,Régionale,RR12,Maritime,Plateaux,Yoto,Ogou,110,Moyen,2.3,2,68,25,1050
R023,Régionale,RR13,Plateaux,Savanes,Wawa,Tandjoaré,140,Mediocre,3.6,3,35,20,600
R024,Régionale,RR14,Plateaux,Kara,Agou,Kozah,125,Moyen,2.8,2,55,23,900
R025,Régionale,RR15,Centrale,Savanes,Sotouboua,Oti,130,Mediocre,3.2,3,38,24,720
R026,Locale,RL1,Maritime,Maritime,Vo,Vo,25,Bon,0.5,0,150,5,2200
R027,Locale,RL2,Maritime,Maritime,Lacs,Lacs,30,Bon,0.6,0,130,4,1900
R028,Locale,RL3,Plateaux,Plateaux,Ogou,Ogou,35,Bon,0.7,0,115,6,1700
R029,Locale,RL4,Centrale,Centrale,Sotouboua,Sotouboua,40,Moyen,0.9,0,85,8,1250
R030,Locale,RL5,Kara,Kara,Kozah,Kozah,28,Bon,0.6,0,140,7,2050
R031,Locale,RL6,Savanes,Savanes,Oti,Oti,45,Moyen,1.1,0,75,9,1100
R032,Locale,RL7,Maritime,Maritime,Vo,Bas-Mono,80,Moyen,1.7,1,55,14,800
R033,Locale,RL8,Plateaux,Plateaux,Kloto,Agou,70,Moyen,1.5,1,60,16,850
R034,Locale,RL9,Plateaux,Plateaux,Haho,Haho,33,Bon,0.7,0,95,6,1450
R035,Locale,RL10,Centrale,Centrale,Tchaoudjo,Tchaoudjo,50,Moyen,1.2,0,70,10,1050
R036,Locale,RL11,Kara,Kara,Kéran,Kéran,42,Moyen,1.1,0,65,9,980
R037,Locale,RL12,Savanes,Savanes,Tône,Tône,55,Mediocre,1.6,1,48,11,720
R038,Locale,RL13,Maritime,Maritime,Golfe,Golfe,18,Bon,0.4,0,180,3,2500
R039,Locale,RL14,Plateaux,Plateaux,Amou,Amou,48,Moyen,1.1,0,72,8,1000
R040,Locale,RL15,Centrale,Centrale,Blitta,Blitta,60,Moyen,1.4,1,58,12,880
